,mR,mG,mB,stdR,stdG,stdB,D1,D2,D3,ID
52,72.9091866667,66.145304,65.8800106667,60.4694847638,54.2312938325,45.0218498942,0.0630235735434,0.133156475604,0.0344749029378,13917.0
53,111.774827489,113.938720898,103.293579243,76.2127786236,74.3986737975,74.6391711888,0.00462166955549,0.0152744354795,0.00825970960154,29436.0
54,98.176248,80.9557333333,104.264570667,70.0086014952,79.09293297,90.3090752307,0.460728110644,0.765135228975,0.0754013225074,10588.0
55,244.335121339,242.108025105,240.425001395,38.7339990336,46.6265542743,52.5795377976,0.015945613978,0.0358864597319,0.00720889796956,10981.0
56,39.8310473538,58.8212952646,42.7459582173,68.6008899044,63.6127614647,55.1646977497,0.116696011302,0.258266890215,0.15098348958,15050.0
57,186.728858681,174.778223419,161.921900404,64.1476109227,65.3900757166,61.2725339661,0.105368464412,0.157642500889,0.0281330298701,26158.0
58,164.608857538,135.900334716,121.848669433,73.8491780888,86.1565733204,87.7340588509,0.101539836186,0.148913268944,0.0180407968169,26763.0
59,159.362747875,150.735847025,62.6426883853,107.22078009,108.366085069,74.1230276394,0.019858132949,0.588336396729,0.57508639887,14607.0
60,208.008050776,189.912767278,177.87851622,43.8480873852,47.2410921272,45.704848597,0.111520895468,0.175936150909,0.0264033284193,11771.0
61,124.801272,122.244202667,128.25116,95.494027055,85.750494823,88.3988528356,0.0681481485069,0.159278578659,0.0290936523656,16771.0
62,39.488872,23.509584,14.45924,49.0496920157,39.6799634931,33.1935136227,0.114183231615,0.156699602502,0.0233521602365,21506.0
63,146.489728,144.045485333,150.384877333,97.8755468056,97.693173056,93.2815481581,0.0247033516428,0.0582752830907,0.0239303671438,14752.0
64,104.907488,103.621474667,94.9163653333,79.7945455208,78.6717892761,80.336442108,0.0123369390951,0.031980255594,0.0161941334101,23190.0
65,226.87265857,215.887873144,208.386944669,50.3031485408,52.0135823358,47.9554098288,0.0734074738741,0.0421243544592,0.00573296798167,29568.0
66,211.839662162,153.486840541,46.8387810811,69.8663188575,65.7872588076,52.6996522408,0.121244200114,0.794166992888,0.479295881409,17141.0
67,157.249053061,130.878601361,95.3746340136,72.683580942,79.6444140257,83.0145706273,0.0151806579123,0.0851087792058,0.0347144617824,24019.0
68,58.1556506667,45.0874053333,31.7191573333,81.2764856823,69.7627941359,55.6903393842,0.0261702355398,0.132738336763,0.0501306731174,13197.0
69,106.486432,71.743032,68.976088,78.3385965829,61.0944601699,65.9802790452,0.117331369233,0.336946610156,0.118726866962,26258.0
70,135.177168,103.655410667,76.51552,75.7127859799,68.8306299031,56.1898897116,0.0640563710563,0.245706463374,0.123111724003,10159.0
71,143.651656,139.84692,125.949386667,78.1870333866,80.6910732682,90.0827778044,0.03425458131,0.0461608835732,0.0261098015636,11469.0
72,80.2799577836,90.1194168865,97.1586490765,71.3192888266,57.3455945062,50.2941789345,0.205591514485,0.383239777596,0.0602530834385,29324.0
73,192.893309958,187.611624123,203.771051893,66.9457046762,76.037683081,85.5096198628,0.0346613691336,0.0721919240734,0.017862165835,29204.0
74,104.641762667,96.5825226667,95.5502346667,81.1243147727,74.2651812584,72.6288086034,0.0241473791805,0.0783590572255,0.0196477177536,22160.0
75,153.96412,157.515432,162.589413333,95.628533179,88.2758714439,93.4762558938,0.122282621128,0.392658856227,0.0964544459181,18228.0
76,152.794413333,145.666970667,151.276370667,71.3931331767,70.9548894683,72.1948207971,0.0995528693185,0.149616763069,0.0150765190647,12722.0
77,113.223368272,75.4241048159,84.4268045326,90.7323214136,79.8074019211,73.2798759767,0.209766554775,0.224099659771,0.00261990079129,17969.0
78,86.8824453333,53.0425066667,51.6371253333,94.5747328742,87.3340760749,88.0092833094,0.208569610399,0.253562406889,0.0129594640855,11009.0
79,115.894045822,94.7884204852,57.9386495957,71.9131156673,64.4989283401,43.0142784732,0.270997619019,0.459864783547,0.284302209707,22689.0
80,114.865418667,128.444592,131.938952,90.4899697712,88.4268455879,86.8460809698,0.00972771155043,0.0157077023177,0.00217067970394,29734.0
81,165.830518519,186.770159544,196.444128205,70.0937975945,67.4393013116,68.2617905723,0.029499390092,0.0607953787267,0.00856121810238,18044.0
82,195.904311798,198.658421348,197.735733146,89.3097905252,83.9998238587,78.8689443987,0.058405619062,0.212670558454,0.202164672855,24890.0
83,124.527944,103.663485333,129.425354667,88.3669745123,71.8020754241,58.5987448905,0.141367729944,0.661926739427,0.354303558172,10112.0
84,80.9396982544,74.2884688279,49.7297930175,84.61093603,84.1276491963,66.9015887831,0.192146337694,0.249456888279,0.158574855096,29890.0
85,31.4417786667,39.9390026667,47.4438826667,51.3298911449,53.6533485441,59.0662218433,0.0534926219736,0.1100534381,0.0140318861815,15156.0
86,55.845832,59.1778666667,74.507984,65.5314687985,66.7968647227,65.9917273219,0.0127505156984,0.0468181835751,0.0161959955758,13180.0
87,207.003741333,199.265744,199.00764,78.5792249007,89.618113698,87.3605621336,0.0246857396912,0.0377519578447,0.0147936795844,11834.0
88,104.584461333,107.952856,120.996789333,68.0896881249,69.5878101498,68.2127325775,0.0261034800265,0.0723390268723,0.0194611073641,14161.0
89,198.204414322,169.367601023,164.050017903,76.7872518455,93.4338239763,96.2391550977,0.168813682018,0.213260255135,0.0548145361983,27716.0
90,78.5936426667,89.616776,102.230893333,81.3899593749,81.671352795,86.5777368627,0.264760079817,0.471363592797,0.0579248469321,10196.0
91,95.2789568733,114.082822102,153.826272237,78.693540783,78.6570229998,93.687159636,0.0609046221626,0.398516501059,0.179698460707,16666.0
92,213.551474667,171.896776,109.978744,60.4651621213,81.8042125941,105.920596368,0.29172741041,0.590818228295,0.265731802554,27932.0
93,166.474829333,146.218176,165.220765333,69.7011612417,76.9890521345,92.6093884154,0.183295580293,0.421755692845,0.0869663248657,10608.0
94,125.665664,138.209762667,169.630952,87.2437775782,60.097856886,71.2981655368,0.368040245825,1.08186546972,0.337140633492,14648.0
95,129.43504,86.5789706667,52.945792,91.0023435533,76.9672144117,36.3652916597,0.0789813828007,0.367564826545,0.296067419515,17703.0
96,137.157237333,145.793784,105.255168,80.03306791,64.9823946232,74.7488146347,0.233817948027,0.511391157062,0.239295131134,26264.0
97,106.643581333,56.8666906667,55.90056,88.8549056556,79.8237952949,77.4275249918,0.22349633747,0.231849464256,0.00758442240207,26521.0
98,117.721157333,132.014594667,128.141421333,72.3927273058,60.9467694112,57.2506686308,0.15351712316,0.347887452333,0.0552641308683,28089.0
99,153.186466667,154.301162667,171.419986667,48.0970329873,54.4406517202,57.5060347256,0.173923194852,0.477135359004,0.123057277776,13664.0
100,36.0949733333,23.454184,16.8404453333,62.198322904,46.2196803345,34.0539579047,0.0467909935516,0.165272175787,0.0614954241766,11892.0
101,108.076584,104.699253333,96.828048,102.790172443,101.510368965,98.7344922128,0.0172200337661,0.0500059205391,0.0325698698606,29735.0
102,98.4602133333,52.404552,30.119928,64.3840425029,51.3083748233,36.1457345562,0.110962199199,0.297212780951,0.0950231097119,23615.0
103,83.3119790026,51.56967979,56.0882887139,95.0800408625,70.8081767551,72.0049233178,0.141773026881,0.122208240403,0.00580922485787,29496.0
104,63.9756949153,104.447773142,102.166675359,78.2947069941,88.9897950429,85.5578246652,0.160068502912,0.259117435076,0.0415601013357,23073.0
105,154.276873385,146.436165375,149.373604651,32.7351892864,35.3016669212,25.5594300307,0.00991030984014,0.037314449313,0.0349430169262,22406.0
106,55.301488,60.408936,65.5382053333,70.699036983,75.0290741203,81.0142851376,0.0139694389304,0.047276051428,0.0103700871875,25670.0
107,80.6221533835,53.9694105263,44.8721413534,76.3106798982,56.6706670057,49.8468111467,0.090881787137,0.195903573689,0.0374027839466,12759.0
