,mR,mG,mB,stdR,stdG,stdB,D1,D2,D3
32,170.952618667,144.707586667,123.254752,4456.51150434,5593.63816111,4433.69116542,23814.377863,34179.2449887,15546.8077431
33,68.2501486676,42.8161570827,36.0604179523,5299.98338918,3562.12583713,2964.57239175,21424.4683481,28262.2352442,7390.57541738
34,20.0998106667,21.0331973333,23.4639093333,2384.2450325,2479.8094126,2894.18143346,9482.76647398,12865.1854631,5841.63050869
35,117.139176,147.515933333,156.78764,11176.3576194,4843.27173013,4711.96365256,46883.5469221,62814.2682199,16328.5634396
36,74.6259634941,44.8885606258,38.1429647979,4412.9356508,3166.67012885,2679.89823382,25464.7253667,31520.2398151,10250.755777
37,157.140658667,149.426021333,145.246674667,5522.61223381,6052.46371116,5987.47158094,10353.676207,20295.549857,12245.8143461
38,117.652769874,122.457506276,71.9017963738,3569.19128061,3089.45975356,2815.0449223,18383.5200655,40392.4122825,36759.4527435
39,206.071378667,158.562525333,150.136597333,6390.31244909,9297.98835192,10677.9517785,52845.4536361,61516.2442693,10007.1236127
40,119.824208,97.4923813333,96.9618586667,7747.91068651,8504.36769662,8657.55630257,24602.6749155,30696.3054617,16376.7724537
41,131.430082305,147.912142661,169.977223594,7731.72051892,6927.37754858,6766.78390373,21581.8581915,38051.9313439,18827.07545
42,24.2562923497,25.3505491803,28.5903497268,2172.71599456,2187.73994314,2396.66779868,3840.66791066,6742.20861439,3848.93712601
43,111.334824,99.7958026667,86.96908,6288.46217822,6228.78728478,5793.46578795,16141.771619,22925.1044054,10661.0499952
44,123.682490667,102.951808,104.407258667,7691.52320916,8123.32712286,8264.50431105,23921.3229985,25338.7644924,4277.67717342
45,197.225830769,106.975053846,132.178046154,5063.23055944,10431.3588213,6404.482597,87344.1329169,60894.750447,26784.8558518
46,91.1268792135,100.731421348,108.114890449,3887.08296627,3310.78991045,3136.08060075,22939.6114832,27824.1219089,8807.66649005
