,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
250,0.0,Mastan Alibhai Burmawalla,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 53, u'name': u'Thriller'}]",20145,['bollywood'],"Sonia [Isha Koppikar] is the owner of a casino in Goa. A successful entrepreneur, the only love in her life is her son. When the toddler suddenly goes missing, the lady is distraught and distressed. She offers a huge reward [Rs. 25 lacs] to anyone who can trace her son.Raj [Shahid Kapoor] and Priya [Kareena Kapoor], two strangers from different backgrounds, accidentally spot the child and decide to split the reward money given by Sonia. But when they finally reach Sonia's mansion late at night, they find her murdered!Raj and Priya panic and escape from the mansion. In the confusion that follows, Priya forgets her suitcase in the mansion. Soon, they are the chief suspects in the murder. The cop [Akshaye Khanna] realizes that this isn't an open-and-shut case, since a number of new suspects show up while the investigations are on.",0.002978,/k2ldPRDTD4pcwq20B54gA7cKBkN.jpg,2006,0.0,147.0,36 China Town
251,0.0,Michael Curtiz,"[{u'id': 80, u'name': u'Crime'}, {u'id': 27, u'name': u'Horror'}, {u'id': 878, u'name': u'Science Fiction'}]",27115,['living dead'],"A gang of racketeers frames down-on-his-luck John Elman for murder. After he's found guilty, evidence is brought forth proving his innocence. But it is too late and he is executed anyway. A doctor sees an opportunity to use an experimental procedure to restore him to life but is that entirely possible? Desirable?",0.128078,/iqPdo0MyVItCmBc5pH5dAn1LCYp.jpg,1936,0.0,66.0,The Walking Dead
252,7500000.0,James Cotten,"[{u'id': 28, u'name': u'Action'}, {u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}, {u'id': 53, u'name': u'Thriller'}]",21878,,"The story centers around veteran assassin Mark Shields as he tracks down, Pelon, the elusive head of the Salazar Crime Cartel. Through twists of fate, Shields ends up with a local woman, Olivia who is also fighting her own demons for the sake of her daughter. Set in the rich and atmospheric backdrop of Tijuana, Mexico, La Linea (The Line) is full of action and drama.",0.43578,/5aE4ASLuOkDu4dLr9qLSczu4yW2.jpg,2008,0.0,95.0,The Line
253,50000000.0,Andrzej Bartkowiak,"[{u'id': 28, u'name': u'Action'}, {u'id': 12, u'name': u'Adventure'}, {u'id': 878, u'name': u'Science Fiction'}, {u'id': 53, u'name': u'Thriller'}]",15268,"['martial arts', 'revenge', 'street fighter', 'based on video game']","When a teenager, Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up, she goes into a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe.",0.148548,/8FJ8A4R48mqM6zoGB9uOlPisZmr.jpg,2009,12764201.0,97.0,Street Fighter: The Legend of Chun-Li
254,0.0,John G. Avildsen,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10751, u'name': u'Family'}, {u'id': 10749, u'name': u'Romance'}]",26355,['from backpacks to strollers'],"Darcy, editor at her highschool paper, and her long-term boyfriend Stan are in their last months of school and already have found places in good colleges. Recently they started to sleep with each other and, surprise, surprise, Darcy gets pregnant. Neither Darcy's mother, who was left by her husband and had to bring up Darcy alone, nor Stan's catholic parents are very supportive and urge them to h",0.066356,/h413LQAMIwYyyw8lJffMpDcyC5A.jpg,1988,17514553.0,98.0,For Keeps
255,0.0,Tommy Chong,"[{u'id': 35, u'name': u'Comedy'}]",14774,"['clowning', 'mistaken identity', 'twins']",Two brothers who can feel each others' pain and pleasure mess up the French revolution.,0.370673,/xYlE4EHq6pzGwEr2WWCS6F5F00p.jpg,1984,0.0,82.0,Cheech & Chong's The Corsican Brothers
256,0.0,David Presley,"[{u'id': 28, u'name': u'Action'}, {u'id': 35, u'name': u'Comedy'}]",19829,"['cheerleader', 'ninja', 'police chase', 'female ninja', 'deed']","3 college cheerleaders use their martial arts know-how to save their Sensei from mafia kidnappers, but must keep their extra curricular activities a secret in order to make it into an Ivy League school.",0.104656,/38me0PMQ3LkTarMeu6vRYxD9r9z.jpg,2008,0.0,81.0,Ninja Cheerleaders
257,0.0,Marc Klein,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 10749, u'name': u'Romance'}]",13525,"['new york', 'library', 'brother sister relationship', 'jazz', 'loss of parents', 'seduction', 'surprise', 'advice', 'deception', 'gift', 'female protagonist']","Publishing assistant Brett Eisenberg wants to be a big-time editor. However, she lacks self-confidence, a problem that isn't helped by her new, overbearing boss. Brett soon enters into a relationship with Archie, an older man who has plenty of his own issues, including alcoholism, diabetes and a difficult relationship with his daughter. Intent on helping Archie get past his problems, she turns to her dying father for advice.",0.643346,/5B843yLcvmmPA8hELucT3eKmiNR.jpg,2007,0.0,97.0,Suburban Girl
258,0.0,Frank Henenlotter,"[{u'id': 27, u'name': u'Horror'}]",27816,,"Henelotter up's the ante in the final part of his trilogy by introducing a new member to the family; the potentially monstrous fruit of hideously deformed Belial's loins. With the pair still enjoying relative anonymity and comfort in their new found home (presided over by Granny Roth), things however take a downward turn on a trip to the Georgia Clinic of Uncle Hal, which leads to an encounter with an especially nasty redneck sheriff and his similarly blinkered band of merry men.",0.301295,/iUtBZKioYiHrSnBZpJsjg3Ecbko.jpg,1992,0.0,90.0,Basket Case 3
259,0.0,Chris Atkins,"[{u'id': 99, u'name': u'Documentary'}]",26273,['politics'],"Taking Liberties Since 1997is a documentary film about the erosion of civil liberties in the United Kingdom and increase of surveillance under the government of Tony Blair. It was released in the UK on 8th June 2007. The director, Chris Atkins, said on 1 May that he wanted to expose ""the Orwellian state"" that now threatened Britain as a result of Mr Blair's policies.",0.001268,/t99Wv6pdtsiqdRpKA9CK21uR1Ki.jpg,2007,0.0,101.0,Taking Liberties Since 1997
