,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
2709,22000000.0,Michael Apted,"[{u'id': 18, u'name': u'Drama'}]",10130,"['gorilla', 'menace', 'poacher', 'jungle', 'sympathy', 'extinction', 'gorillas']","The story of Dian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.",1.208524,/fvGe6nGdg5wgfhv8WPOAoNXLFul.jpg,1988,0.0,129.0,Gorillas in the Mist
2710,20000000.0,Christian Duguay,"[{u'id': 18, u'name': u'Drama'}, {u'id': 36, u'name': u'History'}]",11944,"['france', 'sword', 'heilig', 'dophin', 'joan of arc']","Ten years before her death, Joan hears voices. Six years later, from the village of Domremy, she begins her mission to unite France under King Charles. First she leads a defense of Vaucouleurs against the Burgundians, then obtains safe passage to Charles, the Dauphin. He uses her, as the embodiment of the mythical ""Maid of Lorraine,"" to raise an army, and he sends her to the rescue of Orléans. After Charles is crowned, Joan leads a disastrous campaign in Paris, where her brother dies. Then she's the victim of Charles's manipulations: she's captured in Burgundy, sold to the English, examined by Bishop Cauchon, found a heretic by the Inquisition, and burned at the stake.",0.502436,/x6vssAd2A102zFB7A5UShjkYSm7.jpg,1999,0.0,140.0,Joan of Arc
2711,0.0,,[],17559,['sporting event'],"UFC 50: The War of '04 was a mixed martial arts event held by the Ultimate Fighting Championship at the Trump Plaza in Atlantic City, New Jersey. Headlining the card were Tito Ortiz and Patrick Côté. Côté was a late replacement for Lion's Den fighter Guy Mezger, who pulled out of the event due to a medical condition. It also featured the Middleweight debut of future champion Rich Franklin.",0.001361,/1k71WkT1Ie5G844ZsOJNYPGN9Gq.jpg,2004,0.0,0.0,UFC 50: The War of 04
2712,0.0,James Franco,"[{u'id': 18, u'name': u'Drama'}]",15316,['independent film'],Two genius brothers grow up and grow apart as one becomes a successful surgeon and the other pursues a drug-fueled high life.,0.046522,/hPE7hZ0WgDlhObA0naF5uWGWGzZ.jpg,2007,0.0,79.0,Good Time Max
2713,1344000.0,William Wyler,"[{u'id': 18, u'name': u'Drama'}]",27367,"['hostage', 'prisoners of war', 'pilot', 'rose', 'river patrol', 'bombing']","The Minivers, an English ""middle-class"" family experience life in the first months of World War II.",0.575846,/gXzMUNZEIwt5oyJ4fTzAubqY78h.jpg,1942,13500000.0,134.0,Mrs. Miniver
2714,2000000.0,Woody Allen,"[{u'id': 35, u'name': u'Comedy'}]",11624,"['transsexuality', 'perversity', 'sperm', 'orgasm', 'sodomy', 'sexology', 'homosexuality', 'aphrodisiac']","Woody Allen's fourth film, consisting of a series of short sequences loosely inspired by Dr. David Reuben's book of the same name. The film was an early smash for Allen, grossing over $18 million dollars in the U.S. alone against a $2 million dollar budget.",1.068127,/oj0uS7uBeInJDFEM5jwHnnlzJo3.jpg,1972,18016290.0,88.0,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask
2715,0.0,Phil Monroe,"[{u'id': 16, u'name': u'Animation'}, {u'id': 10751, u'name': u'Family'}]",21767,"['holiday', 'harmonica', 'cartoon', 'chipmunk', 'classic']",Alvin learns the true meaning of Christmas.,0.054534,/7MbGzTw5jmOdYkAyKB61EMDkFQj.jpg,1981,0.0,30.0,A Chipmunk Christmas
2716,0.0,Chris Graham,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",13338,,"Meet best friends Michael, Albert, Stanley and Sefa; the ladies' man, the good boy, the weird one and the party boy. They're staring down the barrel of their thirtieth birthdays, but still act as if they're sixteen; they get drunk, they chase the wrong women and they have a remarkable record of misbehaving and causing chaos at every wedding they attend. But now Michael's younger brother Sione is getting married, and everything is about to change. Sione is their boy, the kid they used to look after, who grew up while they were still partying. And to ensure his big day isn't spoiled by his boys and their idiot antics, Sione has issued an ultimatum; the guys all have to bring dates to the wedding. And not just any dates; real girlfriends, someone they've made a commitment to. They have one month. So just how hard can it be to get a date for your best boy's wedding?",0.005457,/4V2ASpZIGIgXfngX6qPpvmhbd8S.jpg,2006,0.0,97.0,Sione's Wedding
2717,2300000.0,George Sidney,"[{u'id': 10402, u'name': u'Music'}, {u'id': 10749, u'name': u'Romance'}]",17820,"['musical', 'grandmother granddaughter relationship', 'interracial relationship', 'reconciliation', 'riverboat', 'showboat', 'miscegenation', 'paddlewheel boat']",A dashing Mississippi river gambler wins the affections of the daughter of the owner of the Show Boat.,0.159104,/9qxeyQk0Wzw0M4ABIF8hc8nS5D7.jpg,1951,11000000.0,107.0,Show Boat
2718,0.0,Bob Fosse,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10402, u'name': u'Music'}]",16858,"['show business', 'film making', 'tap dancing', 'movie in movie', 'divorce', 'tv show in film', 'stand-up comedian', 'broadway', 'rainstorm', 'surgery', 'dream sequence', 'editing', 'semi autobiographical', 'restroom', 'screening room', 'amphetamine', 'prescription drug abuse']","Bob Fosse's semi-autobiographical film celebrates show business stripped of glitz or giddy illusions. Joe Gideon (Roy Scheider) is at the top of the heap, one of the most successful directors and choreographers in musical theatre. But he can feel his world slowly collapsing around him--his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",0.504795,/x4ppWRGH3pfVmEsbNC8UhvZVswd.jpg,1979,37823676.0,123.0,All That Jazz
