,mR,mG,mB,stdR,stdG,stdB,varR,varG,varB,Dc1,Dc2,Dc3,De1,De2,De3,ID
12,149.998549333,141.767149333,129.161109333,89.5602590023,89.4493641298,85.7987457316,8021.03999256,8001.18874323,7361.42476912,0.00137057286186,0.0373726632808,0.0268065711653,5800.68504575,19583.5017808,14794.8597493,29030.0
13,79.986296,62.218368,57.9167226667,93.2314139415,81.6090383929,78.2335505238,8692.09654553,6660.03514742,6120.48842755,0.174697233119,0.42854189743,0.153597912086,34145.7671608,51100.7122651,27325.878705,18487.0
14,141.556282383,123.298313472,108.393295337,88.1741161258,77.6024826419,73.2090365938,7774.67475457,6022.14531218,5359.56303899,0.21925674858,0.643386251171,0.264631652433,36469.4767991,60968.7965356,35409.7342972,23293.0
15,180.559204918,168.19229235,153.772054645,80.484775146,90.3351817052,97.5037878622,6477.7990303,8160.44505371,9506.98864747,0.0209760250597,0.051946763574,0.0172264937538,14252.2128106,25827.0914932,14352.1049676,18208.0
16,141.529114667,109.102349333,80.6656266667,66.94227651,52.296718335,35.8719533499,4481.26838434,2734.94674861,1286.79703714,0.0129945864607,0.0718652301629,0.0306318391438,22558.02498,43365.6387247,21154.3423675,15761.0
17,206.050840314,199.033965969,190.881730366,72.8694560657,70.4822075928,78.0033164098,5309.9576273,4967.74158715,6084.51737093,0.275930374697,0.436002260302,0.0581340558009,33222.1263919,44624.6546205,17063.984646,26359.0
18,37.344232,16.4187413333,15.6982773333,67.8690429405,42.4255102467,33.8637983807,4606.20698966,1799.9239197,1146.75684077,0.273356225048,0.153358960603,0.0528410468326,31579.9090087,29558.2152878,9198.93211194,20993.0
19,88.5936311475,87.6363224044,76.6920956284,60.8693804276,56.9846547825,54.8922922599,3705.08147365,3247.25088068,3013.16374954,0.00892247476267,0.0302297301574,0.00903387711956,5339.77443344,11783.6386571,8131.7493198,18421.0
20,183.072622036,175.780733612,173.934825662,95.8131872238,91.970932512,90.1256968234,9180.16684598,8458.65242713,8122.6412279,0.0520932465209,0.143893147175,0.029670919103,18801.3656419,30535.8769646,13370.923977,15492.0
21,187.792744,202.421088,222.138477333,75.3667100844,54.8595323066,44.9591082951,5680.14098895,3009.5682849,2021.32141869,0.850245571833,1.14360894109,0.311334908964,53614.4348194,60789.5138326,27540.212944,10327.0
22,58.9000345253,53.0827398274,39.6552848335,66.0443989174,59.7941091539,57.3205386014,4361.86262836,3575.33548951,3285.64414556,0.11269495203,0.366923365833,0.119273299617,19760.8472743,36160.3550591,20177.4352434,19553.0
23,28.853384,27.9186106667,29.062344,57.7982774808,56.4700416366,57.8579311408,3340.64087975,3188.86560244,3347.54019589,0.0145232962747,0.017727224629,0.000833048054407,6044.90529289,6669.24043651,1803.94345809,26559.0
24,64.3774300654,37.2570379085,28.3504915033,70.8957276579,53.9642932493,40.9718893928,5026.20420014,2912.14494589,1678.69572041,0.0772431207109,0.109197243641,0.0306422600774,24840.6900468,32887.9285149,12113.5715625,28283.0
25,193.855584,159.255112,151.127330667,99.7024533166,111.621754286,113.994231071,9940.57919735,12459.4160299,12994.6847176,0.236140749344,0.271377493012,0.0138697086056,49731.5252229,55448.0932314,12619.2170122,25796.0
26,90.5415893333,93.1217813333,54.9623146667,93.8472880002,82.5454825171,64.5587512773,8807.31346499,6813.75668397,4167.83236648,0.0642838063559,0.196561086567,0.154802762957,20588.4587573,41104.2799718,35862.0562712,23069.0
27,225.081141689,168.497836512,157.168332425,64.8089625005,101.52447098,103.809551292,4200.20162039,10307.2182079,10776.4229394,0.387998217599,0.44227223935,0.0182257600277,59527.9396502,66595.1228319,13784.5586074,20321.0
28,139.418688,79.788528,80.2995546667,114.371385123,107.667675543,107.280623502,13080.813735,11592.3283569,11509.132179,0.355103666583,0.349334999673,0.000946944009265,68042.9845759,67410.8171809,2890.93012714,21413.0
29,107.60977937,82.6531203438,84.4598968481,75.3053801969,62.8989253647,65.4919300069,5670.9002866,3956.27481204,4289.19289604,0.187774630934,0.0638763615961,0.118256526506,29864.721261,20988.9747487,18534.0606722,28003.0
30,124.166234667,82.375424,53.5879173333,100.734159413,87.4566074852,71.7394951651,10147.3708727,7648.65819282,5146.55516654,0.102521554356,0.222004725448,0.0420448901408,37395.6945918,58193.6723622,24520.4143317,11229.0
31,140.753885333,156.434768,108.951376,35.0446392796,34.6254011691,35.4442551016,1228.12674224,1198.91840612,1256.29521971,0.015109751292,0.0757855508937,0.13746757914,10296.8787989,21211.7049998,31181.5037482,16664.0
32,81.661176,105.234472,92.7529013333,73.8628768888,66.7336987252,66.0344501472,5455.7245823,4453.38654555,4360.54860625,0.0330785131265,0.0925665642788,0.0568393020046,18701.1654717,20192.4779807,15699.0686666,13590.0
